Id,FriendlyName,Category,Priority
5a7ad2e851dfba0016153692,"""Big Stick"" 9x19 magazine for Glock 9x19",Attachments,1 Low
5d96141523f0ea1b7f2aacab,"""Door Kicker"" Boonie hat",Vanity,1 Low
5d1b376e86f774252519444e,Moonshine,Food,4 Ultra
59e655cb86f77411dc52a77b,.366 TKM EKO,Ammo,1 Low
59e6542b86f77411dc52a77a,.366 TKM FMJ,Ammo,1 Low
59e6658b86f77411d949b250,.366 TKM Geksa,Ammo,1 Low
5448fee04bdc2dbc018b4567,Water,Food,1 Low
587df3a12459772c28142567,10 rnds. SKS internal box magazine 7.62x39,Attachments,1 Low
5c5db5b82e2216003a0fe71d,"10.5"" 9x19 barrel for MPX",Attachments,1 Low
5cc701aae4a949000e1ea45c,"10.5"" barrel for P90 5.7x28",Attachments,2 Medium
5c6d85e02e22165df16b81f4,"10.6"" barrel for 416A5 and compatible 5.56x45",Attachments,2 Medium
5cffa483d7ad1a049e54ef1c,100 rounds belt,Attachments,1 Low
5c6592372e221600133e47d7,100-round MAG5-100 5.56x45 STANAG magazine,Attachments,2 Medium
5d25a6538abbc306c62e630d,10-round .308 AICS M700 magazine,Attachments,1 Low
5888988e24597752fe43a6fa,10-round .308 DVL-10 magazine,Attachments,1 Low
5bfeaa0f0db834001b734927,10-round .308 M700 magazine,Attachments,1 Low
57838f0b2459774a256959b2,10-round 6L24 9x39 VSS magazine,Attachments,1 Low
5998529a86f774647f44f421,10-round Izh.9x19 Sb.7 magazine,Attachments,1 Low
559ba5b34bdc2d1f1a8b4582,10-round polymer magazine 7.62x54R for SV-98,Attachments,1 Low
55d4837c4bdc2d1d4e8b456c,10-round Saiga 545 5.45x39 magazine for AK-74 and compatibles,Attachments,1 Low
5c471c442e221602b542a6f8,10-round SVD 7.62x54 magazine,Attachments,1 Low
5a78832ec5856700155a6ca3,10-shell M870x10 12ga magazine,Attachments,1 Low
5bb20d92d4351e00853263eb,"11"" barrel for 416A5 and compatible 5.56x45",Attachments,1 Low
5b099a765acfc47a8607efe3,"11"" barrel for SA-58 7.62x51",Attachments,1 Low
56d5a1f7d2720bb3418b456a,112mm barrel for P226 9x19,Attachments,1 Low
